slug,name,category,city,region,source_url,source_owner,manually_reviewed_on,source_freshness,age_min_months,age_max_months,price_band,indoor_outdoor,verification_notes
hoboken-public-library,Hoboken Public Library,library,Hoboken,NJ,https://hobokenlibrary.org,Hoboken Public Library,2026-07-16,manual_source_review,0,96,free,indoor,Verify current childrens programming and branch hours before recommending.
hoboken-pier-c-park,Pier C Park,playground,Hoboken,NJ,https://www.hobokennj.gov/resources/pier-c-park,City of Hoboken,2026-07-16,manual_source_review,12,96,free,outdoor,Verify weather and any temporary park notices before recommending.
hoboken-southwest-resiliency-park,Southwest Resiliency Park,park,Hoboken,NJ,https://www.hobokennj.gov/resources/southwest-resiliency-park,City of Hoboken,2026-07-16,manual_source_review,12,96,free,outdoor,Verify splash or playground availability seasonally before recommending.
jersey-city-free-public-library,Jersey City Free Public Library,library,Jersey City,NJ,https://www.jclibrary.org,Jersey City Free Public Library,2026-07-16,manual_source_review,0,96,free,indoor,Verify selected branch schedule and event age range before recommending.
liberty-state-park,Liberty State Park,park,Jersey City,NJ,https://dep.nj.gov/parksandforests/parks/liberty-state-park/,New Jersey DEP Parks and Forests,2026-07-16,manual_source_review,0,96,free,outdoor,Verify weather parking and any park alerts before recommending.
liberty-science-center,Liberty Science Center,museum,Jersey City,NJ,https://lsc.org,Liberty Science Center,2026-07-16,manual_source_review,24,96,paid,indoor,Verify admission timed tickets and exhibit age fit before recommending.
hamilton-park-jersey-city,Hamilton Park,playground,Jersey City,NJ,https://www.jerseycitynj.gov/cityhall/dpw/parks,Hamilton Park Conservancy and City of Jersey City,2026-07-16,manual_source_review,12,96,free,outdoor,Verify playground status and restroom availability before recommending.
van-vorst-park,Van Vorst Park,playground,Jersey City,NJ,https://www.jerseycitynj.gov/cityhall/dpw/parks,City of Jersey City,2026-07-16,manual_source_review,12,96,free,outdoor,Verify playground status and restroom availability before recommending.
pershing-field-park,Pershing Field Park,park,Jersey City,NJ,https://www.jerseycitynj.gov/cityhall/dpw/parks,City of Jersey City,2026-07-16,manual_source_review,12,96,free,mixed,Verify seasonal facilities and hours before recommending.
weehawken-waterfront-park,Weehawken Waterfront Park,waterfront,Weehawken,NJ,https://www.weehawken-nj.us,Weehawken Township,2026-07-16,manual_source_review,0,96,free,outdoor,Verify parking stroller route and weather before recommending.
overpeck-county-park,Overpeck County Park,park,Leonia,NJ,https://www.co.bergen.nj.us/parks-recreation-areas/overpeck-county-park,Bergen County,2026-07-16,manual_source_review,0,96,free,outdoor,Verify current county park notices and playground details before recommending.
